model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,validation,uncertainty,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,validation,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,validation,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,validation,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,validation,uncertainty,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,validation,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,validation,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,validation,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,validation,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,uncertainty,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,validation,uncertainty,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,validation,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,validation,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,validation,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,validation,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.3,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,validation,uncertainty,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,validation,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,validation,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,validation,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.05,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,validation,uncertainty,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,validation,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,validation,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,validation,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,validation,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.1,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,uncertainty,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,validation,uncertainty,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,validation,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,validation,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,validation,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,validation,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,uncertainty_prior,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,uncertainty_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,raw_uncertainty,baseline,complete,raw_error_risk,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,native_max_shift,baseline,complete,native_domain_shift_score,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,native_density,baseline,complete,native_domain_density_distance,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.3,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,0,0,0,0.0,,,,0,,,,,,,,0,
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,validation,uncertainty,primary,group_cv_unavailable,,,,14,1,13,4.0,0.307692307692,0.638888888889,0.440476190476,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,validation,prior,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,validation,uncertainty_support,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,14,1,13,4.0,0.307692307692,0.583333333333,0.384920634921,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,14,1,13,4.0,0.307692307692,0.222222222222,0.324300699301,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,14,1,13,4.0,0.307692307692,0.194444444444,0.285256410256,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,test,prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,test,uncertainty_prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,test,uncertainty_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
