model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,prior_features_available,formal_support_features_available,e2_features_available,usable_prior_features,usable_support_features,usable_e2_features,e2_real_joint_support_available,e2_fallback_used,e2_joint_support_mode,drug_similarity_mode,target_similarity_mode,support_normalization_mode,support_normalization_warning,residual_rows_with_any_e2_null,e2_drug_marginal_support_null_n,e2_target_marginal_support_null_n,e2_joint_nn_sim_null_n,e2_joint_top5_available_mean_sim_null_n,e2_joint_top5_padded_mean_sim_null_n,e2_joint_top10_pair_occurrence_rate_null_n,e2_joint_top10_sim_sum_null_n,e2_joint_support_gap_null_n,e2_drug_target_support_imbalance_null_n
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,test,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,validation,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,test,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,validation,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,test,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,target,base,0.9,0.2,0.2,validation,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,target,base,0.9,0.2,0.2,test,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.2,validation,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.2,test,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.2,validation,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.2,test,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.2,validation,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.2,test,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.2,validation,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.2,test,True,True,True,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,validation,True,True,True,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,test,True,True,True,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_7,target,base,0.8,0.2,0.2,validation,True,True,True,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,0,0,0,0,0,0,0,0,0,0
